,date,temperature_2m,temperature_2m_previous_day1,direct_normal_irradiance_instant,direct_normal_irradiance_instant_previous_day1,shortwave_radiation,shortwave_radiation_previous_day1,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,latitude,longitude
0,2025-01-01 00:00:00+00:00,3.813,3.563,0.0,0.0,0.0,0.0,26.674032,37.936897,211.75943,223.84663,55.91,23.27
1,2025-01-01 01:00:00+00:00,3.613,3.513,0.0,0.0,0.0,0.0,30.154163,41.04789,213.31064,228.19963,55.91,23.27
2,2025-01-01 02:00:00+00:00,2.913,2.613,0.0,0.0,0.0,0.0,39.54924,44.098164,235.0079,222.0219,55.91,23.27
3,2025-01-01 03:00:00+00:00,2.363,2.263,0.0,0.0,0.0,0.0,35.9153,41.348312,227.03091,215.07384,55.91,23.27
4,2025-01-01 04:00:00+00:00,2.163,1.813,0.0,0.0,0.0,0.0,37.1969,43.488533,222.64667,216.5854,55.91,23.27
5,2025-01-01 05:00:00+00:00,2.113,1.313,0.0,0.0,0.0,0.0,41.51254,44.84854,223.24304,222.39738,55.91,23.27
6,2025-01-01 06:00:00+00:00,1.863,1.313,0.0,0.0,0.0,0.0,40.482,43.057266,223.91916,227.37187,55.91,23.27
7,2025-01-01 07:00:00+00:00,2.163,1.563,0.0,0.0,0.0,0.0,41.251034,43.34974,226.41435,228.36655,55.91,23.27
8,2025-01-01 08:00:00+00:00,2.563,1.763,0.0,0.0,4.0,4.0,42.259766,42.039925,225.69019,227.4293,55.91,23.27
9,2025-01-01 09:00:00+00:00,2.963,1.913,0.0,0.0,15.0,16.0,43.89048,43.466175,228.99101,230.37674,55.91,23.27
10,2025-01-01 10:00:00+00:00,3.463,2.063,0.9720999,1.792539,26.0,28.0,46.730717,43.516838,232.51207,231.04408,55.91,23.27
11,2025-01-01 11:00:00+00:00,3.613,2.163,1.4205619,2.4978073,28.0,31.0,45.868576,42.340958,233.93947,232.25313,55.91,23.27
12,2025-01-01 12:00:00+00:00,3.663,2.563,0.788468,0.788468,26.0,26.0,48.62666,44.03493,236.78052,235.6603,55.91,23.27
13,2025-01-01 13:00:00+00:00,3.763,2.613,0.0,0.0,19.0,16.0,48.128376,42.85361,236.90425,234.57414,55.91,23.27
14,2025-01-01 14:00:00+00:00,3.813,2.663,0.0,0.0,6.0,4.0,50.554047,43.635803,234.2725,232.3737,55.91,23.27
15,2025-01-01 15:00:00+00:00,3.913,2.763,0.0,0.0,0.0,0.0,49.477413,43.11141,231.7959,228.72415,55.91,23.27
16,2025-01-01 16:00:00+00:00,3.963,3.063,0.0,0.0,0.0,0.0,46.883003,44.039345,227.4896,225.33116,55.91,23.27
17,2025-01-01 17:00:00+00:00,4.113,2.813,0.0,0.0,0.0,0.0,47.88135,44.12754,223.17206,228.63828,55.91,23.27
18,2025-01-01 18:00:00+00:00,4.213,3.013,0.0,0.0,0.0,0.0,49.13571,47.015503,225.89044,229.9698,55.91,23.27
19,2025-01-01 19:00:00+00:00,4.463,3.113,0.0,0.0,0.0,0.0,49.670868,46.371574,227.0559,233.84172,55.91,23.27
20,2025-01-01 20:00:00+00:00,4.763,3.913,0.0,0.0,0.0,0.0,50.152534,46.928593,230.82635,235.94417,55.91,23.27
21,2025-01-01 21:00:00+00:00,4.763,3.913,0.0,0.0,0.0,0.0,54.721184,48.128376,232.75308,236.90425,55.91,23.27
22,2025-01-01 22:00:00+00:00,5.013,3.813,0.0,0.0,0.0,0.0,55.74307,48.73315,234.46223,237.3665,55.91,23.27
23,2025-01-01 23:00:00+00:00,5.113,3.863,0.0,0.0,0.0,0.0,58.59159,49.39221,239.33818,239.32278,55.91,23.27
24,2025-01-02 00:00:00+00:00,5.213,3.763,0.0,0.0,0.0,0.0,54.110287,51.931168,244.7989,240.05815,55.91,23.27
25,2025-01-02 01:00:00+00:00,5.013,3.713,0.0,0.0,0.0,0.0,52.7188,49.792046,250.45135,241.02596,55.91,23.27
26,2025-01-02 02:00:00+00:00,5.013,3.913,0.0,0.0,0.0,0.0,43.573387,47.55544,255.16002,240.5242,55.91,23.27
27,2025-01-02 03:00:00+00:00,5.013,3.863,0.0,0.0,0.0,0.0,39.31259,43.09487,249.07542,239.36465,55.91,23.27
28,2025-01-02 04:00:00+00:00,4.713,3.863,0.0,0.0,0.0,0.0,36.862663,45.429947,238.17259,236.3099,55.91,23.27
29,2025-01-02 05:00:00+00:00,3.963,4.113,0.0,0.0,0.0,0.0,41.0621,42.481525,244.55829,233.61555,55.91,23.27
30,2025-01-02 06:00:00+00:00,4.113,3.813,0.0,0.0,0.0,0.0,35.419315,38.580513,243.43501,229.92067,55.91,23.27
31,2025-01-02 07:00:00+00:00,4.013,3.563,0.0,0.0,0.0,0.0,42.3792,47.015507,253.72025,242.6502,55.91,23.27
32,2025-01-02 08:00:00+00:00,3.863,2.763,3.0915234,0.0,12.0,3.0,39.21522,48.515926,254.56029,253.17851,55.91,23.27
33,2025-01-02 09:00:00+00:00,3.713,3.513,178.22507,0.0,69.0,20.0,40.883385,47.367023,257.79956,250.46326,55.91,23.27
34,2025-01-02 10:00:00+00:00,3.263,3.513,109.559875,24.807875,83.0,51.0,35.16962,44.79216,247.1094,248.7971,55.91,23.27
35,2025-01-02 11:00:00+00:00,3.063,3.063,134.04454,144.71869,101.0,104.0,37.72278,36.367126,246.3706,268.8656,55.91,23.27
36,2025-01-02 12:00:00+00:00,2.263,2.513,1.4254612,79.22264,28.0,80.0,22.963936,31.1686,350.98074,353.36758,55.91,23.27
37,2025-01-02 13:00:00+00:00,0.61300004,0.913,0.0,0.0,7.0,20.0,20.907913,28.58545,2.9608781,301.08743,55.91,23.27
38,2025-01-02 14:00:00+00:00,-0.187,0.113000005,0.0,0.0,4.0,2.0,23.34455,27.059933,333.43503,310.6839,55.91,23.27
